,Region,Agegroup,Sex,Year,Rate
7301,NORTH EAST,65-74,Male,2001-01-01 00:00:00,33.61470082916262
7305,NORTH EAST,75-84,Male,2001-01-01 00:00:00,56.14429082742648
7309,NORTH EAST,85+,Male,2001-01-01 00:00:00,70.602771158768
7605,NORTH EAST,UNDER 25,Male,2002-01-01 00:00:00,0.0
7607,NORTH EAST,25-34,Male,2002-01-01 00:00:00,0.0
7609,NORTH EAST,35-44,Male,2002-01-01 00:00:00,0.0
7612,NORTH EAST,45-54,Male,2002-01-01 00:00:00,0.5867959182475927
7616,NORTH EAST,55-64,Male,2002-01-01 00:00:00,7.792299791024687
7620,NORTH EAST,65-74,Male,2002-01-01 00:00:00,21.41387432848883
7624,NORTH EAST,75-84,Male,2002-01-01 00:00:00,35.82578432877834
7628,NORTH EAST,85+,Male,2002-01-01 00:00:00,113.329265103304
7924,NORTH EAST,UNDER 25,Male,2003-01-01 00:00:00,0.0
7926,NORTH EAST,25-34,Male,2003-01-01 00:00:00,0.0
7928,NORTH EAST,35-44,Male,2003-01-01 00:00:00,0.0
7931,NORTH EAST,45-54,Male,2003-01-01 00:00:00,2.3591860808021234
7935,NORTH EAST,55-64,Male,2003-01-01 00:00:00,8.272781171150056
7939,NORTH EAST,65-74,Male,2003-01-01 00:00:00,27.689070201022645
7943,NORTH EAST,75-84,Male,2003-01-01 00:00:00,40.115666839386904
7947,NORTH EAST,85+,Male,2003-01-01 00:00:00,121.25411397886714
8243,NORTH EAST,UNDER 25,Male,2004-01-01 00:00:00,0.0
8245,NORTH EAST,25-34,Male,2004-01-01 00:00:00,0.0
8247,NORTH EAST,35-44,Male,2004-01-01 00:00:00,0.0
8250,NORTH EAST,45-54,Male,2004-01-01 00:00:00,1.7684195634361568
8254,NORTH EAST,55-64,Male,2004-01-01 00:00:00,5.413892046992584
8258,NORTH EAST,65-74,Male,2004-01-01 00:00:00,14.698992200347263
8262,NORTH EAST,75-84,Male,2004-01-01 00:00:00,59.3638177530795
8266,NORTH EAST,85+,Male,2004-01-01 00:00:00,49.6031746031746
8562,NORTH EAST,UNDER 25,Male,2005-01-01 00:00:00,0.0
8564,NORTH EAST,25-34,Male,2005-01-01 00:00:00,0.0
8566,NORTH EAST,35-44,Male,2005-01-01 00:00:00,0.0
8569,NORTH EAST,45-54,Male,2005-01-01 00:00:00,1.1727591504532715
8573,NORTH EAST,55-64,Male,2005-01-01 00:00:00,3.3223915903624066
8577,NORTH EAST,65-74,Male,2005-01-01 00:00:00,26.601355751855216
8581,NORTH EAST,75-84,Male,2005-01-01 00:00:00,78.60991467548844
8585,NORTH EAST,85+,Male,2005-01-01 00:00:00,74.55453664355475
8881,NORTH EAST,UNDER 25,Male,2006-01-01 00:00:00,0.0
8883,NORTH EAST,25-34,Male,2006-01-01 00:00:00,0.0
8885,NORTH EAST,35-44,Male,2006-01-01 00:00:00,0.0
8888,NORTH EAST,45-54,Male,2006-01-01 00:00:00,0.0
8892,NORTH EAST,55-64,Male,2006-01-01 00:00:00,4.560171462446989
8896,NORTH EAST,65-74,Male,2006-01-01 00:00:00,24.971329214605447
8900,NORTH EAST,75-84,Male,2006-01-01 00:00:00,77.15305236763429
8904,NORTH EAST,85+,Male,2006-01-01 00:00:00,89.84105044920526
9200,NORTH EAST,UNDER 25,Male,2007-01-01 00:00:00,0.0
9202,NORTH EAST,25-34,Male,2007-01-01 00:00:00,0.6827290043762929
9204,NORTH EAST,35-44,Male,2007-01-01 00:00:00,0.552871059411524
9207,NORTH EAST,45-54,Male,2007-01-01 00:00:00,0.5734602592040372
9211,NORTH EAST,55-64,Male,2007-01-01 00:00:00,2.563445270443476
9215,NORTH EAST,65-74,Male,2007-01-01 00:00:00,32.4416513727453
9219,NORTH EAST,75-84,Male,2007-01-01 00:00:00,60.14466374384705
9223,NORTH EAST,85+,Male,2007-01-01 00:00:00,148.08138037599798
9519,NORTH EAST,UNDER 25,Male,2008-01-01 00:00:00,0.0
9521,NORTH EAST,25-34,Male,2008-01-01 00:00:00,0.0
9523,NORTH EAST,35-44,Male,2008-01-01 00:00:00,0.0
9526,NORTH EAST,45-54,Male,2008-01-01 00:00:00,1.6955474922852591
9530,NORTH EAST,55-64,Male,2008-01-01 00:00:00,5.683648144288881
9534,NORTH EAST,65-74,Male,2008-01-01 00:00:00,30.39765661701716
9538,NORTH EAST,75-84,Male,2008-01-01 00:00:00,65.35032441768193
9542,NORTH EAST,85+,Male,2008-01-01 00:00:00,85.97396217145665
9838,NORTH EAST,UNDER 25,Male,2009-01-01 00:00:00,0.0
9840,NORTH EAST,25-34,Male,2009-01-01 00:00:00,0.0
9842,NORTH EAST,35-44,Male,2009-01-01 00:00:00,0.5813852083975279
9845,NORTH EAST,45-54,Male,2009-01-01 00:00:00,0.5574850733371615
9849,NORTH EAST,55-64,Male,2009-01-01 00:00:00,5.615278549012023
9853,NORTH EAST,65-74,Male,2009-01-01 00:00:00,28.198224421481587
9857,NORTH EAST,75-84,Male,2009-01-01 00:00:00,61.12469437652812
9861,NORTH EAST,85+,Male,2009-01-01 00:00:00,128.873528205729
10157,NORTH EAST,UNDER 25,Male,2010-01-01 00:00:00,0.0
10159,NORTH EAST,25-34,Male,2010-01-01 00:00:00,0.0
10161,NORTH EAST,35-44,Male,2010-01-01 00:00:00,0.5997145358809207
10164,NORTH EAST,45-54,Male,2010-01-01 00:00:00,0.5484560960895081
